year,player,games_played,mpg,true_shot,per,value_added,wins_added
2024,Andrew Nembhard,65,28.9,0.545,11.71,0,0
2024,Gui Santos,56,13.6,0.575,11.68,0,0
2024,Anthony Black,78,24.2,0.521,11.64,23.8,0.8
2024,Nickeil Alexander-Walker,82,25.3,0.579,11.64,0,0
2024,Tosan Evbuomwan,28,23.8,0.53,11.63,8.3,0.3
2024,Ricky Council IV,73,17.1,0.502,11.62,15.4,0.5
2024,Jamal Cain,37,13.6,0.544,11.46,4.9,0.2
2024,Colby Jones,39,13.2,0.544,11.41,4.7,0.2
2024,Peyton Watson,68,24.4,0.564,11.41,15.1,0.5
2024,Kessler Edwards,40,15.2,0.597,11.32,0,0
2024,Cody Martin,53,22.1,0.509,11.32,0,0
2024,Kris Dunn,74,24.1,0.531,11.32,0,0
2024,Justin Edwards,44,26.3,0.559,11.31,8.8,0.3
2024,Kevin Huerter,69,24.3,0.544,11.31,0,0
2024,Luguentz Dort,71,29.2,0.586,11.3,0,0
2024,Georges Niang,79,21.5,0.607,11.27,0,0
2024,Amir Coffey,72,24.3,0.614,11.26,0,0
2024,Garrison Mathews,47,17.7,0.606,11.23,0,0
2024,Bogdan Bogdanovic,54,25,0.559,11.19,0,0
2024,Oso Ighodaro,61,17.1,0.61,11.12,8.1,0.3
2024,Ronald Holland II,81,15.6,0.556,11.12,6,0.2
2024,Sam Merrill,71,19.7,0.583,11.11,0,0
2024,Corey Kispert,61,26.3,0.584,11.07,0,0
2024,Dillon Brooks,75,31.8,0.555,11.03,0,0
2024,Bruce Brown,41,22.5,0.504,10.98,0,0
2024,Cory Joseph,50,12.2,0.547,10.95,0,0
2024,Gradey Dick,54,29.4,0.543,10.93,3.1,0.1
2024,Tyrese Martin,60,21.9,0.533,10.93,2.5,0.1
2024,Jerami Grant,47,32.4,0.523,10.92,0,0
2024,Jalen Pickett,49,13.6,0.545,10.89,0.9,0
2024,Bilal Coulibaly,59,33,0.515,10.87,0,0
2024,Eric Gordon,39,19.7,0.591,10.86,0,0
2024,Ja'Kobe Walter,52,21.2,0.523,10.82,0.4,0
2024,Ryan Dunn,74,19.1,0.517,10.77,-0.7,0
2024,Javonte Green,68,18.5,0.541,10.76,0,0
2024,Jamison Battle,59,17.7,0.59,10.72,-1.2,0
2024,Isaac Okoro,55,19.1,0.587,10.71,0,0
2024,Kyle Kuzma,65,29.8,0.514,10.61,0,0
2024,Terry Rozier,64,25.9,0.497,10.57,0,0
2024,Jaylen Wells,79,25.9,0.56,10.49,0,0
2024,Jaden Hardy,57,15.9,0.549,10.49,0,0
2024,Keon Johnson,79,24.4,0.499,10.47,0,0
2024,Max Christie,78,27.3,0.57,10.44,-11.6,-0.4
2024,Herbert Jones,20,32.4,0.541,10.41,0,0
2024,Nicolas Batum,78,17.5,0.633,10.32,0,0
2024,Rob Dillingham,49,10.5,0.503,10.31,-3.8,-0.1
2024,Davion Mitchell,74,27.4,0.573,10.27,0,0
2024,Pelle Larsson,55,14.2,0.546,10.26,-6.4,-0.2
2024,Julian Phillips,79,14.2,0.571,10.23,-9.5,-0.3
2024,KJ Martin,43,21.2,0.618,10.21,0,0
2024,Dorian Finney-Smith,63,28.9,0.604,10.15,0,0
2024,Keaton Wallace,31,16.2,0.503,10.15,-4.9,-0.2
2024,Dean Wade,59,21.2,0.563,10.12,0,0
2024,Jericho Sims,53,11.9,0.639,9.97,0,0
2024,Jamal Shead,75,19.6,0.499,9.95,-14.2,-0.5
2024,Blake Wesley,58,11.8,0.51,9.95,-8.7,-0.3
2024,Haywood Highsmith,74,24.6,0.583,9.95,-23.1,-0.8
2024,Tristan da Silva,74,22,0.522,9.92,-21.4,-0.7
2024,Kentavious Caldwell-Pope,77,29.6,0.574,9.89,0,0
2024,Tim Hardaway Jr.,77,28,0.567,9.88,0,0
2024,Svi Mykhailiuk,38,20,0.526,9.86,0,0
2024,Kyle Lowry,35,18.8,0.525,9.84,0,0
2024,Taurean Prince,80,27.1,0.613,9.8,0,0
2024,Simone Fontecchio,75,16.5,0.544,9.75,-19.3,-0.6
2024,Isaiah Collier,71,25.9,0.494,9.73,-29.3,-1
2024,Landry Shamet,50,15.2,0.601,9.73,0,0
2024,Reed Sheppard,52,12.6,0.465,9.69,-10.8,-0.4
2024,Jordan Hawkins,56,23.6,0.504,9.66,-22.5,-0.7
2024,Dalen Terry,73,13.5,0.546,9.65,-17,-0.6
2024,Caleb Martin,45,27.1,0.513,9.64,0,0
2024,Julian Strawther,65,21.3,0.559,9.59,-25,-0.8
2024,Jalen Wilson,79,25.7,0.541,9.55,-38,-1.3
